title;price;area;bedroom;toilet;link;address;legal;furniture;post_date;loai_bds;district
Ban công Đông Nam - Không Mất Phí Môi Giới chính chủ bán Nhanh căn hộ Vinhomes Ocean Park, GL, HN;Giá thỏa thuận;63,1  m²;2 PN;2 WC;https://batdongsan.com.vn/ban-can-ho-chung-cu-xa-duong-xa-prj-vinhomes-ocean-park-gia-lam/100-chinh-chu-ban-tu-ban-khu-do-thi-vinmes-da-ton-ha-noi-pr43279892;Dự án Vinhomes Ocean Park Gia Lâm, Xã Dương Xá, Gia Lâm, Hà Nội;Sổ đỏ/ Sổ hồng;Cơ bản;18/10/2025;Căn hộ chung cư;N/A
Giá chỉ từ 2 tỷ, đất đô thị Hòa Lạc, gần QL21 và đường Hồ Chí Minh, diện tích 100m², mặt tiền 7m;2 tỷ;100  m²;N/A;N/A;https://batdongsan.com.vn/ban-dat-xa-phu-cat-1/gia-chi-tu-2-ty-do-thi-hoa-lac-gan-ql21-va-duong-ho-chi-minh-dien-tich-100m-mat-tien-7m-pr44315439;Xã Phú Cát, Quốc Oai, Hà Nội;Sổ đỏ/ Sổ hồng;N/A;18/10/2025;Đất nền/Thổ cư;N/A
Bán biệt thự mặt công viên 65hecta tại KĐT Ciputra chỉ từ 333tr/m2, sổ đỏ bàn giao ngay;49,5 tỷ;140  m²;N/A;N/A;https://batdongsan.com.vn/ban-nha-biet-thu-lien-ke-phuong-phu-thuong-1-prj-kita-capital-ciputra/ban-mat-cong-vien-65hecta-tai-kdt-chi-tu-333tr-m2-so-do-ban-giao-ngay-pr43917520;Dự án Kita Capital Ciputra, Phường Phú Thượng, Tây Hồ, Hà Nội;Sổ đỏ/ Sổ hồng;Không nội thất;13/10/2025;Biệt thự/Liền kề;N/A
N/A;43,5 tỷ;238  m²;N/A;N/A;https://batdongsan.com.vn/ban-nha-biet-thu-lien-ke-phuong-duong-noi-prj-an-phu-shop-villa/h-sep-gui-b-lo-goc-sat-mat-27m-tai-villas-dt-238m2-gia-chi-41-5-ty-pr41599967;Dự án An Phú Shop Villa, Phường Dương Nội, Hà Đông, Hà Nội;Sổ đỏ/ Sổ hồng;N/A;06/10/2025;Biệt thự/Liền kề;N/A
N/A;5,6 tỷ;49,9  m²;N/A;N/A;https://batdongsan.com.vn/ban-dat-duong-hoi-phu-xa-dong-hoi/sieu-pham-49-9m-mt-hau-4-75m-ngo-truoc-2-5m-tai-sat-vin-cau-tu-lien-tt-trien-lam-pr44174424;Đường Hội Phụ, Xã Đông Hội, Đông Anh, Hà Nội;Sổ đỏ/ Sổ hồng;N/A;18/10/2025;Đất nền/Thổ cư;N/A
N/A;13,25 tỷ;47  m²;N/A;N/A;https://batdongsan.com.vn/ban-nha-rieng-duong-quan-hoa-phuong-quan-hoa/chuyen-truong-cho-con-ban-gap-lo-goc-ngo-trung-tam-cau-giay-47m2-pr44313622;Đường Quan Hoa, Phường Quan Hoa, Cầu Giấy, Hà Nội;Sổ đỏ vuông đẹp.;N/A;18/10/2025;Nhà riêng/Khác;N/A
N/A;6,6 tỷ;82,5  m²;N/A;N/A;https://batdongsan.com.vn/ban-dat-duong-vanh-dai-4-xa-dai-thinh/ban-4-me-linh-ha-noi-gia-thoa-thuan-82-5m2-mat-tien-5m-pr44299617;Đường Vành Đai 4, Xã Đại Thịnh, Mê Linh, Hà Nội;Sổ đỏ/ Sổ hồng;N/A;16/10/2025;Đất nền/Thổ cư;N/A
N/A;18,5 tỷ;70  m²;N/A;N/A;https://batdongsan.com.vn/ban-nha-biet-thu-lien-ke-duong-sao-bien-1-xa-duong-xa-prj-vinhomes-ocean-park-gia-lam/18-99ty-ha2-30m-vua-o-vua-kinh-doanh-tai-oceanpark-1-lam-pr43363147;Dự án Vinhomes Ocean Park Gia Lâm, Đường Sao Biển 1, Xã Dương Xá, Gia Lâm, Hà Nội;Sổ đỏ/ Sổ hồng;N/A;16/10/2025;Biệt thự/Liền kề;N/A
N/A;47 tỷ;198  m²;N/A;N/A;https://batdongsan.com.vn/ban-nha-biet-thu-lien-ke-phuong-duong-noi-prj-an-quy-villa-kdt-duong-noi/bao-re-nhat-thi-truong-c-song-lap-198m2-tai-nam-cuong-full-gia-chi-37-8-ty-pr41807019;Dự án An Quý Villa - KĐT Dương Nội, Phường Dương Nội, Hà Đông, Hà Nội;HĐMB;N/A;06/10/2025;Biệt thự/Liền kề;N/A
N/A;6,35 tỷ;114,8  m²;N/A;N/A;https://batdongsan.com.vn/ban-dat-xa-tien-phong-8/lo-114m-nam-sat-du-an-cau-thuong-cat-pr44124933;Xã Tiền Phong, Mê Linh, Hà Nội;Sổ đỏ/ Sổ hồng;N/A;09/10/2025;Đất nền/Thổ cư;N/A
